CenterX_PreNear_CH0,CenterY_PreNear_CH0,CenterX_PreFar_CH0,CenterY_PreFar_CH0,CenterX_PostNear_CH0,CenterY_PostNear_CH0,CenterX_PostFar_CH0,CenterY_PostFar_CH0,BeamSize_PostCureFar_CH0,R_preX_CH0,R_preY_CH0,R_postX_CH0,R_postY_CH0,AutoFindBeam_CH0
315.2613,245.1962,316.8884,243.8243,319.2943,242.5924,315.9527,249.4352,14830,1.627097,-1.371849,-3.341599,6.84283,0
322.3902,242.75,321.1719,240.0511,326.193,235.0524,329.7809,219.096,11399,-1.218279,-2.698909,3.587913,-15.95644,0
329.0636,244.1079,329.9376,242.1838,335.0034,240.0002,349.1755,235.1127,22953,0.874027,-1.924075,14.17206,-4.887564,0
321.1226,253.3458,320.2802,252.5902,319.9104,244.5768,319.0281,247.02,19334,-0.84239,-0.755544,-0.882228,2.443159,0
312.5496,257.9741,312.3128,255.4356,313.5525,254.3504,299.0446,250.6612,19193,-0.236837,-2.538488,-14.50791,-3.689212,0
316.4545,248.0349,319.0909,245.1873,314.5864,239.8045,307.8126,236.914,18019,2.636385,-2.847513,-6.773843,-2.890488,1
315.3318,249.9215,316.095,249.8599,316.1654,242.0208,317.4667,230.7479,14249,0.763193,-0.061564,1.301288,-11.27288,0
313.9633,246.1021,314.6412,244.2117,313.8189,244.4638,303.3177,243.5717,14659,0.677931,-1.890391,-10.50125,-0.892125,0
324.284,238.7352,323.4826,241.324,323.447,231.9044,318.742,224.3752,19589,-0.801463,2.588795,-4.705013,-7.529279,0
318.194,241.2439,318.9168,241.9581,321.0098,241.4955,336.1002,243.1439,12434,0.7228,0.714266,15.09039,1.648358,0
311.5606,243.4978,313.6929,243.3924,314.1465,241.9868,307.5662,241.7176,13895,2.132317,-0.105472,-6.580349,-0.269197,0
313.3289,245.2484,312.8305,243.33,319.0844,235.8577,322.984,221.1333,12151,-0.498422,-1.918425,3.899606,-14.7244,0
324.2812,240.9512,322.9649,241.5206,320.2984,232.0647,311.7646,226.8558,17120,-1.316341,0.569457,-8.533739,-5.208847,0
322.5815,242.5886,322.249,241.33,325.7968,242.4314,341.1362,241.1439,12613,-0.332482,-1.258627,15.33943,-1.287468,0
309.6449,246.0889,311.9711,245.6279,314.8933,236.4077,321.6797,217.5699,11410,2.326178,-0.461021,6.786366,-18.83785,0
318.0876,245.4929,319.1482,242.5098,322.5008,241.8465,317.2379,247.0603,12930,1.060629,-2.983066,-5.262864,5.213867,1
312.8784,245.7863,314.0947,243.3797,313.8425,239.5981,291.4151,248.8253,13816,1.216299,-2.406652,-22.42739,9.227264,0
314.4319,239.6177,316.9964,239.4754,316.3029,238.7658,303.6931,240.9286,21946,2.564565,-0.142279,-12.60971,2.162825,0
323.8822,246.3582,324.7831,244.4278,325.6777,246.7851,335.6948,243.6669,14752,0.900915,-1.930405,10.01708,-3.118226,0
325.3475,241.2268,322.4441,240.1498,320.9725,236.2121,310.6727,237.6067,15155,-2.903405,-1.076951,-10.29983,1.394524,0
